,origin_airport_id,op_unique_carrier,Delayed,ratio,Ratio_Percentage
626,10994,YV,0,126,
627,10994,YV,1,32,
628,10994,YX,0,290,
629,10994,YX,1,39,
630,11003,9E,0,91,
631,11003,9E,1,35,
632,11003,DL,0,35,
633,11003,DL,1,17,
634,11003,F9,0,22,
635,11003,F9,1,6,
636,11003,G4,0,63,
637,11003,G4,1,46,
638,11003,MQ,0,234,
639,11003,MQ,1,92,
640,11003,OH,0,86,
641,11003,OH,1,52,
642,11003,OO,0,213,
643,11003,OO,1,48,
644,11003,UA,0,81,
645,11003,UA,1,22,
646,11003,YV,0,52,
647,11003,YV,1,30,
648,11013,OO,0,69,
649,11013,OO,1,22,
650,11027,G4,0,14,
651,11027,G4,1,3,
652,11027,OO,0,77,
653,11027,OO,1,21,
654,11042,9E,0,557,
655,11042,9E,1,76,
656,11042,AA,0,211,
657,11042,AA,1,34,
658,11042,B6,0,190,
659,11042,B6,1,26,
660,11042,DL,0,359,
661,11042,DL,1,47,
662,11042,EV,0,356,
663,11042,EV,1,75,
664,11042,F9,0,403,
665,11042,F9,1,119,
666,11042,G4,0,28,
667,11042,G4,1,10,
668,11042,MQ,0,311,
669,11042,MQ,1,84,
670,11042,NK,0,361,
671,11042,NK,1,65,
672,11042,OH,0,206,
673,11042,OH,1,70,
674,11042,OO,0,46,
675,11042,OO,1,4,
676,11042,UA,0,738,
677,11042,UA,1,96,
678,11042,WN,0,739,
679,11042,WN,1,91,
680,11042,YV,0,56,
681,11042,YV,1,8,
682,11042,YX,0,467,
683,11042,YX,1,73,
684,11049,EV,0,96,
685,11049,EV,1,2,
686,11049,MQ,0,88,
687,11049,MQ,1,20,
688,11049,OO,0,48,
689,11049,OO,1,4,
690,11057,9E,0,221,
691,11057,9E,1,62,
692,11057,AA,0,11748,
693,11057,AA,1,2496,
694,11057,B6,0,191,
695,11057,B6,1,23,
696,11057,DL,0,956,
697,11057,DL,1,105,
698,11057,EV,0,90,
699,11057,EV,1,37,
700,11057,F9,0,184,
701,11057,F9,1,45,
702,11057,MQ,0,719,
703,11057,MQ,1,235,
704,11057,NK,0,168,
705,11057,NK,1,40,
706,11057,OH,0,9531,
707,11057,OH,1,3546,
708,11057,OO,0,92,
709,11057,OO,1,52,
710,11057,UA,0,75,
711,11057,UA,1,7,
712,11057,WN,0,369,
713,11057,WN,1,46,
714,11057,YV,0,258,
715,11057,YV,1,71,
716,11057,YX,0,1537,
717,11057,YX,1,290,
718,11066,9E,0,73,
719,11066,9E,1,6,
720,11066,AA,0,266,
721,11066,AA,1,58,
722,11066,AS,1,25,
723,11066,AS,0,18,
724,11066,DL,0,447,
725,11066,DL,1,43,
726,11066,EV,0,75,
727,11066,EV,1,53,
728,11066,F9,0,27,
729,11066,F9,1,12,
730,11066,MQ,0,516,
731,11066,MQ,1,142,
732,11066,NK,0,194,
733,11066,NK,1,35,
734,11066,OH,0,244,
735,11066,OH,1,34,
736,11066,OO,0,210,
737,11066,OO,1,46,
738,11066,UA,0,92,
739,11066,UA,1,27,
740,11066,WN,0,1432,
741,11066,WN,1,167,
742,11066,YV,0,143,
743,11066,YV,1,19,
744,11066,YX,0,1564,
745,11066,YX,1,215,
746,11067,MQ,0,296,
747,11067,MQ,1,82,
748,11076,OO,0,72,
749,11076,OO,1,18,
750,11092,OO,0,34,
751,11092,OO,1,12,
752,11097,OO,0,2,
753,11109,AA,0,206,
754,11109,AA,1,26,
755,11109,DL,0,42,
756,11109,DL,1,5,
757,11109,EV,0,36,
758,11109,EV,1,4,
759,11109,F9,0,153,
760,11109,F9,1,15,
761,11109,MQ,0,55,
762,11109,MQ,1,8,
763,11109,OO,0,638,
764,11109,OO,1,110,
765,11109,UA,0,60,
766,11109,UA,1,8,
767,11109,YV,0,7,
768,11109,YX,0,22,
769,11109,YX,1,2,
770,11111,MQ,0,23,
771,11111,MQ,1,8,
772,11111,OO,0,160,
773,11111,OO,1,29,
774,11111,YV,0,18,
775,11111,YV,1,6,
776,11122,OO,0,166,
777,11122,OO,1,8,
778,11140,EV,0,221,
779,11140,EV,1,14,
780,11140,MQ,0,139,
781,11140,MQ,1,42,
782,11140,OO,0,33,
783,11140,OO,1,8,
784,11140,WN,0,167,
785,11140,WN,1,19,
786,11140,YV,0,165,
787,11140,YV,1,35,
788,11140,YX,0,3,
789,11146,9E,0,38,
790,11146,9E,1,2,
791,11146,DL,0,12,
792,11146,EV,0,2,
793,11146,OH,0,240,
794,11146,OH,1,84,
795,11146,OO,0,181,
796,11146,OO,1,58,
797,11150,9E,0,16,
798,11150,9E,1,2,
799,11150,OO,0,104,
800,11150,OO,1,15,
801,11193,9E,0,1542,
802,11193,9E,1,242,
803,11193,AA,0,104,
804,11193,AA,1,15,
805,11193,DL,0,977,
806,11193,DL,1,126,
807,11193,EV,0,90,
808,11193,EV,1,26,
809,11193,F9,0,316,
810,11193,F9,1,44,
811,11193,G4,0,298,
812,11193,G4,1,67,
813,11193,MQ,0,546,
814,11193,MQ,1,139,
815,11193,OH,0,527,
816,11193,OH,1,134,
817,11193,OO,0,37,
818,11193,OO,1,6,
819,11193,UA,0,32,
820,11193,UA,1,6,
821,11193,WN,0,354,
